voltage[V],time[ns]
0.2827421733,51.8646
0.2803324728,52.0074
0.2779169740,52.1503
0.2754957268,52.2932
0.2730687815,52.4361
0.2706361880,52.5789
0.2681979968,52.7218
0.2657542583,52.8647
0.2633050230,53.0076
0.2608503416,53.1505
0.2583902648,53.2933
0.2559248436,53.4362
0.2534541289,53.5791
0.2509781719,53.7220
0.2484970237,53.8648
0.2460107357,54.0077
0.2435193593,54.1506
0.2410229460,54.2935
0.2385215475,54.4363
0.2360152154,54.5792
0.2335040018,54.7221
0.2309879584,54.8650
0.2284671373,55.0079
0.2259415906,55.1507
0.2234113707,55.2936
0.2208765298,55.4365
0.2183371204,55.5794
0.2157931950,55.7222
0.2132448061,55.8651
0.2106920066,56.0080
0.2081348492,56.1509
0.2055733868,56.2938
0.2030076724,56.4366
0.2004377591,56.5795
0.1978637000,56.7224
0.1952855483,56.8653
0.1927033574,57.0081
0.1901171807,57.1510
0.1875270716,57.2939
0.1849330839,57.4368
0.1823352710,57.5797
0.1797336868,57.7225
0.1771283850,57.8654
0.1745194195,58.0083
0.1719068444,58.1512
0.1692907136,58.2940
0.1666710812,58.4369
0.1640480014,58.5798
0.1614215286,58.7227
0.1587917170,58.8656
0.1561586209,59.0084
0.1535222949,59.1513
0.1508827936,59.2942
0.1482401714,59.4371
0.1455944831,59.5799
0.1429457833,59.7228
0.1402941269,59.8657
0.1376395687,60.0086
0.1349821636,60.1515
0.1323219666,60.2943
0.1296590327,60.4372
0.1269934169,60.5801
0.1243251745,60.7230
0.1216543606,60.8658
0.1189810304,61.0087
0.1163052392,61.1516
0.1136270424,61.2945
0.1109464954,61.4373
0.1082636537,61.5802
0.1055785726,61.7231
0.1028913078,61.8660
0.1002019148,62.0089
0.0975104493,62.1517
0.0948169668,62.2946
0.0921215233,62.4375
0.0894241743,62.5804
0.0867249757,62.7232
0.0840239833,62.8661
0.0813212530,63.0090
0.0786168407,63.1519
0.0759108022,63.2948
0.0732031937,63.4376
0.0704940711,63.5805
0.0677834903,63.7234
0.0650715076,63.8663
0.0623581790,64.0091
0.0596435605,64.1520
0.0569277084,64.2949
0.0542106789,64.4378
0.0514925280,64.5807
0.0487733121,64.7235
0.0460530874,64.8664
0.0433319102,65.0093
0.0406098367,65.1522
0.0378869232,65.2950
0.0351632261,65.4379
0.0324388017,65.5808
0.0297137063,65.7237
0.0269879963,65.8666
0.0242617281,66.0094
0.0215349581,66.1523
0.0188077427,66.2952
0.0160801383,66.4381
0.0133522013,66.5809
0.0106239881,66.7238
0.0078955551,66.8667
0.0051669589,67.0096
0.0024382558,67.1525
-0.0002904978,67.2953
-0.0030192453,67.4382
-0.0057479304,67.5811
-0.0084764966,67.7240
-0.0112048875,67.8668
-0.0139330466,68.0097
-0.0166609176,68.1526
-0.0193884439,68.2955
-0.0221155692,68.4383
-0.0248422371,68.5812
-0.0275683911,68.7241
-0.0302939750,68.8670
-0.0330189322,69.0099
-0.0357432065,69.1527
-0.0384667415,69.2956
-0.0411894808,69.4385
-0.0439113682,69.5814
-0.0466323474,69.7242
-0.0493523620,69.8671
-0.0520713559,70.0100
-0.0547892727,70.1529
-0.0575060562,70.2958
-0.0602216504,70.4386
-0.0629359989,70.5815
-0.0656490457,70.7244
-0.0683607346,70.8673
-0.0710710096,71.0101
-0.0737798145,71.1530
-0.0764870935,71.2959
-0.0791927903,71.4388
-0.0818968492,71.5817
-0.0845992142,71.7245
-0.0872998293,71.8674
-0.0899986388,72.0103
-0.0926955868,72.1532
-0.0953906174,72.2960
-0.0980836751,72.4389
-0.1007747040,72.5818
-0.1034636485,72.7247
-0.1061504531,72.8676
-0.1088350620,73.0104
-0.1115174198,73.1533
-0.1141974711,73.2962
-0.1168751603,73.4391
-0.1195504321,73.5819
-0.1222232312,73.7248
-0.1248935022,73.8677
-0.1275611900,74.0106
-0.1302262394,74.1535
-0.1328885952,74.2963
-0.1355482024,74.4392
-0.1382050059,74.5821
-0.1408589509,74.7250
-0.1435099824,74.8678
-0.1461580455,75.0107
-0.1488030856,75.1536
-0.1514450479,75.2965
-0.1540838778,75.4393
-0.1567195206,75.5822
-0.1593519219,75.7251
-0.1619810272,75.8680
-0.1646067822,76.0109
-0.1672291324,76.1537
-0.1698480238,76.2966
-0.1724634021,76.4395
-0.1750752132,76.5824
-0.1776834031,76.7252
-0.1802879179,76.8681
-0.1828887037,77.0110
-0.1854857066,77.1539
-0.1880788730,77.2968
-0.1906681493,77.4396
-0.1932534819,77.5825
-0.1958348172,77.7254
-0.1984121020,77.8683
-0.2009852829,78.0111
-0.2035543067,78.1540
-0.2061191202,78.2969
-0.2086796704,78.4398
-0.2112359044,78.5827
-0.2137877692,78.7255
-0.2163352121,78.8684
-0.2188781804,79.0113
-0.2214166216,79.1542
-0.2239504830,79.2970
-0.2264797122,79.4399
-0.2290042571,79.5828
-0.2315240653,79.7257
-0.2340390847,79.8686
-0.2365492634,80.0114
-0.2390545493,80.1543
-0.2415548908,80.2972
-0.2440502359,80.4401
-0.2465405333,80.5829
-0.2490257312,80.7258
-0.2515057784,80.8687
-0.2539806236,81.0116
-0.2564502155,81.1545
-0.2589145030,81.2973
-0.2613734353,81.4402
-0.2638269614,81.5831
-0.2662750306,81.7260
-0.2687175922,81.8688
-0.2711545958,82.0117
-0.2735859909,82.1546
-0.2760117273,82.2975
-0.2784317547,82.4403
-0.2808460231,82.5832
-0.2832544826,82.7261
-0.2856570833,82.8690
-0.2880537757,83.0119
-0.2904445100,83.1547
-0.2928292368,83.2976
-0.2952079069,83.4405
-0.2975804710,83.5834
-0.2999468800,83.7262
-0.3023070851,83.8691
-0.3046610373,84.0120
-0.3070086880,84.1549
-0.3093499886,84.2978
-0.3116848908,84.4406
-0.3140133462,84.5835
-0.3163353066,84.7264
-0.3186507240,84.8693
-0.3209595506,85.0121
-0.3232617386,85.1550
-0.3255572403,85.2979
-0.3278460083,85.4408
-0.3301279952,85.5837
-0.3324031539,85.7265
-0.3346714373,85.8694
-0.3369327984,86.0123
-0.3391871906,86.1552
-0.3414345671,86.2980
-0.3436748815,86.4409
-0.3459080874,86.5838
-0.3481341387,86.7267
-0.3503529893,86.8696
-0.3525645933,87.0124
-0.3547689049,87.1553
-0.3569658787,87.2982
-0.3591554691,87.4411
-0.3613376308,87.5839
-0.3635123188,87.7268
-0.3656794880,87.8697
-0.3678390936,88.0126
-0.3699910909,88.1555
-0.3721354355,88.2983
-0.3742720829,88.4412
-0.3764009890,88.5841
-0.3785221098,88.7270
-0.3806354013,88.8698
-0.3827408199,89.0127
-0.3848383220,89.1556
-0.3869278643,89.2985
-0.3890094034,89.4413
-0.3910828965,89.5842
-0.3931483005,89.7271
-0.3952055727,89.8700
-0.3972546707,90.0129
-0.3992955519,90.1557
-0.4013281743,90.2986
-0.4033524957,90.4415
-0.4053684744,90.5844
-0.4073760685,90.7272
-0.4093752366,90.8701
-0.4113659373,91.0130
-0.4133481294,91.1559
-0.4153217720,91.2988
-0.4172868242,91.4416
-0.4192432454,91.5845
-0.4211909951,91.7274
-0.4231300331,91.8703
-0.4250603191,92.0131
-0.4269818134,92.1560
-0.4288944761,92.2989
-0.4307982677,92.4418
-0.4326931488,92.5847
-0.4345790802,92.7275
-0.4364560229,92.8704
-0.4383239382,93.0133
-0.4401827872,93.1562
-0.4420325317,93.2990
-0.4438731333,93.4419
-0.4457045541,93.5848
-0.4475267560,93.7277
-0.4493397014,93.8706
-0.4511433528,94.0134
-0.4529376729,94.1563
-0.4547226246,94.2992
-0.4564981710,94.4421
-0.4582642753,94.5849
-0.4600209010,94.7278
-0.4617680118,94.8707
-0.4635055716,95.0136
-0.4652335444,95.1565
-0.4669518944,95.2993
-0.4686605862,95.4422
-0.4703595843,95.5851
-0.4720488537,95.7280
-0.4737283593,95.8708
-0.4753980666,96.0137
-0.4770579408,96.1566
-0.4787079478,96.2995
-0.4803480533,96.4423
-0.4819782234,96.5852
-0.4835984245,96.7281
-0.4852086230,96.8710
-0.4868087856,97.0139
-0.4883988792,97.1567
-0.4899788710,97.2996
-0.4915487281,97.4425
-0.4931084183,97.5854
-0.4946579091,97.7282
-0.4961971686,97.8711
-0.4977261650,98.0140
-0.4992448665,98.1569
-0.5007532418,98.2998
-0.5022512597,98.4426
-0.5037388892,98.5855
-0.5052160996,98.7284
-0.5066828602,98.8713
-0.5081391407,99.0141
-0.5095849111,99.1570
-0.5110201414,99.2999
-0.5124448019,99.4428
-0.5138588632,99.5857
-0.5152622960,99.7285
-0.5166550713,99.8714
-0.5180371603,100.0143
-0.5194085344,100.1572
-0.5207691651,100.3000
-0.5221190245,100.4429
-0.5234580846,100.5858
-0.5247863176,100.7287
-0.5261036961,100.8716
-0.5274101928,101.0144
-0.5287057808,101.1573
-0.5299904332,101.3002
-0.5312641234,101.4431
-0.5325268252,101.5859
-0.5337785123,101.7288
-0.5350191590,101.8717
-0.5362487395,102.0146
-0.5374672284,102.1575
-0.5386746005,102.3003
-0.5398708309,102.4432
-0.5410558947,102.5861
-0.5422297676,102.7290
-0.5433924251,102.8718
-0.5445438433,103.0147
-0.5456839983,103.1576
-0.5468128665,103.3005
-0.5479304247,103.4433
-0.5490366497,103.5862
-0.5501315186,103.7291
-0.5512150087,103.8720
-0.5522870977,104.0149
-0.5533477634,104.1577
-0.5543969838,104.3006
-0.5554347372,104.4435
-0.5564610022,104.5864
-0.5574757576,104.7292
-0.5584789823,104.8721
-0.5594706557,105.0150
-0.5604507571,105.1579
-0.5614192663,105.3008
-0.5623761634,105.4436
-0.5633214284,105.5865
-0.5642550419,105.7294
-0.5651769845,105.8723
-0.5660872372,106.0151
-0.5669857811,106.1580
-0.5678725977,106.3009
-0.5687476686,106.4438
-0.5696109758,106.5867
-0.5704625012,106.7295
-0.5713022274,106.8724
-0.5721301370,107.0153
-0.5729462129,107.1582
-0.5737504381,107.3010
-0.5745427960,107.4439
-0.5753232703,107.5868
-0.5760918448,107.7297
-0.5768485037,107.8726
-0.5775932311,108.0154
-0.5783260119,108.1583
-0.5790468307,108.3012
-0.5797556727,108.4441
-0.5804525232,108.5869
-0.5811373679,108.7298
-0.5818101925,108.8727
-0.5824709831,109.0156
-0.5831197261,109.1585
-0.5837564081,109.3013
-0.5843810158,109.4442
-0.5849935364,109.5871
-0.5855939572,109.7300
-0.5861822657,109.8728
-0.5867584498,110.0157
-0.5873224977,110.1586
-0.5878743975,110.3015
-0.5884141380,110.4443
-0.5889417078,110.5872
-0.5894570963,110.7301
-0.5899602925,110.8730
-0.5904512863,111.0159
-0.5909300673,111.1587
-0.5913966257,111.3016
-0.5918509519,111.4445
-0.5922930365,111.5874
-0.5927228702,111.7302
-0.5931404443,111.8731
-0.5935457500,112.0160
-0.5939387791,112.1589
-0.5943195233,112.3018
-0.5946879748,112.4446
-0.5950441260,112.5875
-0.5953879695,112.7304
-0.5957194982,112.8733
-0.5960387052,113.0161
-0.5963455839,113.1590
-0.5966401281,113.3019
-0.5969223315,113.4448
-0.5971921884,113.5877
-0.5974496932,113.7305
-0.5976948405,113.8734
-0.5979276253,114.0163
-0.5981480427,114.1592
-0.5983560883,114.3020
-0.5985517577,114.4449
-0.5987350468,114.5878
-0.5989059519,114.7307
-0.5990644694,114.8736
-0.5992105961,115.0164
-0.5993443289,115.1593
-0.5994656650,115.3022
-0.5995746020,115.4451
-0.5996711377,115.5879
-0.5997552699,115.7308
-0.5998269969,115.8737
-0.5998863174,116.0166
-0.5999332300,116.1595
-0.5999677338,116.3023
-0.5999898280,116.4452
-0.5999995123,116.5881
-0.5999967864,116.7310
-0.5999816503,116.8738
-0.5999541044,117.0167
-0.5999141493,117.1596
-0.5998617858,117.3025
-0.5997970149,117.4453
-0.5997198380,117.5882
-0.5996302567,117.7311
-0.5995282728,117.8740
-0.5994138885,118.0169
-0.5992871062,118.1597
-0.5991479283,118.3026
-0.5989963579,118.4455
-0.5988323981,118.5884
-0.5986560522,118.7312
-0.5984673239,118.8741
-0.5982662171,119.0170
-0.5980527360,119.1599
-0.5978268849,119.3028
-0.5975886686,119.4456
-0.5973380920,119.5885
-0.5970751602,119.7314
-0.5967998788,119.8743
-0.5965122533,120.0171
-0.5962122897,120.1600
-0.5958999943,120.3029
-0.5955753735,120.4458
-0.5952384341,120.5887
-0.5948891829,120.7315
-0.5945276272,120.8744
-0.5941537745,121.0173
-0.5937676325,121.1602
-0.5933692093,121.3030
-0.5929585130,121.4459
-0.5925355521,121.5888
-0.5921003354,121.7317
-0.5916528719,121.8746
-0.5911931709,122.0174
-0.5907212418,122.1603
-0.5902370945,122.3032
-0.5897407389,122.4461
-0.5892321852,122.5889
-0.5887114441,122.7318
-0.5881785263,122.8747
-0.5876334428,123.0176
-0.5870762049,123.1605
-0.5865068241,123.3033
-0.5859253122,123.4462
-0.5853316812,123.5891
-0.5847259434,123.7320
-0.5841081113,123.8748
-0.5834781977,124.0177
-0.5828362157,124.1606
-0.5821821784,124.3035
-0.5815160995,124.4463
-0.5808379927,124.5892
-0.5801478721,124.7321
-0.5794457519,124.8750
-0.5787316466,125.0179
-0.5780055710,125.1607
-0.5772675401,125.3036
-0.5765175693,125.4465
-0.5757556739,125.5894
-0.5749818698,125.7322
-0.5741961730,125.8751
-0.5733985997,126.0180
-0.5725891664,126.1609
-0.5717678898,126.3038
-0.5709347870,126.4466
-0.5700898752,126.5895
-0.5692331718,126.7324
-0.5683646946,126.8753
-0.5674844616,127.0181
-0.5665924908,127.1610
-0.5656888009,127.3039
-0.5647734104,127.4468
-0.5638463384,127.5897
-0.5629076040,127.7325
-0.5619572265,127.8754
-0.5609952257,128.0183
-0.5600216215,128.1612
-0.5590364340,128.3040
-0.5580396836,128.4469
-0.5570313908,128.5898
-0.5560115766,128.7327
-0.5549802621,128.8756
-0.5539374685,129.0184
-0.5528832174,129.1613
-0.5518175308,129.3042
-0.5507404305,129.4471
-0.5496519388,129.5899
-0.5485520784,129.7328
-0.5474408719,129.8757
-0.5463183423,130.0186
-0.5451845128,130.1615
-0.5440394069,130.3043
-0.5428830483,130.4472
-0.5417154609,130.5901
-0.5405366688,130.7330
-0.5393466964,130.8758
-0.5381455684,131.0187
-0.5369333095,131.1616
-0.5357099449,131.3045
-0.5344754999,131.4473
-0.5332299999,131.5902
-0.5319734708,131.7331
-0.5307059385,131.8760
-0.5294274293,132.0189
-0.5281379696,132.1617
-0.5268375861,132.3046
-0.5255263056,132.4475
-0.5242041553,132.5904
-0.5228711625,132.7332
-0.5215273549,132.8761
-0.5201727601,133.0190
-0.5188074063,133.1619
-0.5174313216,133.3048
-0.5160445346,133.4476
-0.5146470739,133.5905
-0.5132389683,133.7334
-0.5118202472,133.8763
-0.5103909396,134.0191
-0.5089510754,134.1620
-0.5075006842,134.3049
-0.5060397959,134.4478
-0.5045684410,134.5907
-0.5030866497,134.7335
-0.5015944527,134.8764
-0.5000918809,135.0193
-0.4985789654,135.1622
-0.4970557375,135.3050
-0.4955222286,135.4479
-0.4939784705,135.5908
-0.4924244951,135.7337
-0.4908603345,135.8766
-0.4892860212,136.0194
-0.4877015876,136.1623
-0.4861070666,136.3052
-0.4845024911,136.4481
-0.4828878944,136.5909
-0.4812633097,136.7338
-0.4796287707,136.8767
-0.4779843113,137.0196
-0.4763299654,137.1625
-0.4746657672,137.3053
-0.4729917512,137.4482
-0.4713079520,137.5911
-0.4696144045,137.7340
-0.4679111436,137.8768
-0.4661982045,138.0197
-0.4644756228,138.1626
-0.4627434340,138.3055
-0.4610016740,138.4483
-0.4592503788,138.5912
-0.4574895846,138.7341
-0.4557193278,138.8770
-0.4539396451,139.0199
-0.4521505733,139.1627
-0.4503521493,139.3056
-0.4485444104,139.4485
-0.4467273940,139.5914
-0.4449011376,139.7342
-0.4430656790,139.8771
-0.4412210562,140.0200
-0.4393673073,140.1629
-0.4375044707,140.3058
-0.4356325848,140.4486
-0.4337516886,140.5915
-0.4318618207,140.7344
-0.4299630203,140.8773
-0.4280553268,141.0201
-0.4261387795,141.1630
-0.4242134180,141.3059
-0.4222792823,141.4488
-0.4203364123,141.5917
-0.4183848482,141.7345
-0.4164246304,141.8774
-0.4144557994,142.0203
-0.4124783959,142.1632
-0.4104924608,142.3060
-0.4084980353,142.4489
-0.4064951605,142.5918
-0.4044838779,142.7347
-0.4024642292,142.8776
-0.4004362559,143.0204
-0.3984000002,143.1633
-0.3963555041,143.3062
-0.3943028099,143.4491
-0.3922419601,143.5919
-0.3901729973,143.7348
-0.3880959643,143.8777
-0.3860109040,144.0206
-0.3839178597,144.1635
-0.3818168744,144.3063
-0.3797079919,144.4492
-0.3775912555,144.5921
-0.3754667092,144.7350
-0.3733343969,144.8778
-0.3711943626,145.0207
-0.3690466507,145.1636
-0.3668913055,145.3065
-0.3647283717,145.4493
-0.3625578940,145.5922
-0.3603799172,145.7351
-0.3581944865,145.8780
-0.3560016470,146.0209
-0.3538014440,146.1637
-0.3515939232,146.3066
-0.3493791301,146.4495
-0.3471571105,146.5924
-0.3449279105,146.7352
-0.3426915761,146.8781
-0.3404481536,147.0210
-0.3381976894,147.1639
-0.3359402300,147.3068
-0.3336758221,147.4496
-0.3314045126,147.5925
-0.3291263484,147.7354
-0.3268413767,147.8783
-0.3245496447,148.0211
-0.3222511999,148.1640
-0.3199460897,148.3069
-0.3176343618,148.4498
-0.3153160641,148.5927
-0.3129912445,148.7355
-0.3106599511,148.8784
-0.3083222321,149.0213
-0.3059781359,149.1642
-0.3036277109,149.3070
-0.3012710058,149.4499
-0.2989080693,149.5928
-0.2965389503,149.7357
-0.2941636978,149.8786
-0.2917823609,150.0214
-0.2893949889,150.1643
-0.2870016311,150.3072
-0.2846023370,150.4501
-0.2821971564,150.5929
-0.2797861389,150.7358
-0.2773693343,150.8787
-0.2749467928,151.0216
-0.2725185644,151.1645
-0.2700846992,151.3073
-0.2676452478,151.4502
-0.2652002604,151.5931
-0.2627497877,151.7360
-0.2602938804,151.8788
-0.2578325893,152.0217
-0.2553659652,152.1646
-0.2528940593,152.3075
-0.2504169225,152.4504
-0.2479346063,152.5932
-0.2454471618,152.7361
-0.2429546406,152.8790
-0.2404570942,153.0219
-0.2379545742,153.1647
-0.2354471325,153.3076
-0.2329348209,153.4505
-0.2304176913,153.5934
-0.2278957958,153.7362
-0.2253691867,153.8791
-0.2228379160,154.0220
-0.2203020363,154.1649
-0.2177615999,154.3078
-0.2152166594,154.4506
-0.2126672674,154.5935
-0.2101134767,154.7364
-0.2075553401,154.8793
-0.2049929104,155.0221
-0.2024262408,155.1650
-0.1998553842,155.3079
-0.1972803939,155.4508
-0.1947013231,155.5937
-0.1921182252,155.7365
-0.1895311536,155.8794
-0.1869401618,156.0223
-0.1843453033,156.1652
-0.1817466320,156.3080
-0.1791442014,156.4509
-0.1765380655,156.5938
-0.1739282781,156.7367
-0.1713148933,156.8796
-0.1686979650,157.0224
-0.1660775474,157.1653
-0.1634536948,157.3082
-0.1608264613,157.4511
-0.1581959014,157.5939
-0.1555620693,157.7368
-0.1529250197,157.8797
-0.1502848070,158.0226
-0.1476414859,158.1655
-0.1449951111,158.3083
-0.1423457371,158.4512
-0.1396934190,158.5941
